city,country,activities
Djerba,Tunisia,"[""Djerbahood"", ""Eat Octopus Sandwich at Caf\u00e9 des D\u00e9lices"", ""Enjoy Brick \u00e0 l'\u0153uf at Restaurant de l'ile"", ""Ghriba Synagogue"", ""Horse Riding"", ""Houmt Souk"", ""Jewish Heritage"", ""Sample Couscous at Chez Mamie"", ""Try Mloukhiya at Chez Hattab""]"
Doha,Qatar,"[""Al Shaqab Equestrian Center"", ""Al Thakira Mangroves"", ""Al Zubarah Fort"", ""Angry Birds World"", ""Aqua Lounge"", ""Aspire Park"", ""Banana Island"", ""Barzan Towers"", ""Champions Bar"", ""Desert Safari"", ""Dhow Boat Ride"", ""Dhow Cruise"", ""Doha Corniche"", ""Doha Festival City"", ""Doha Fire Station Art Gallery"", ""Doha Grand Prix"", ""Jazz Club at Oryx Rotana"", ""Katara Cultural Village"", ""La Mar Restaurant"", ""Museum of Islamic Art"", ""Museum of Islamic Art Park"", ""National Museum of Qatar"", ""Opera House"", ""Orion Bar"", ""Private Yacht Cruise"", ""Qatar National Museum"", ""Qube Nightclub"", ""Sheikh Faisal Bin Qassim Al Thani Museum"", ""Sora Rooftop Restaurant"", ""Souq Waqif"", ""State Grand Mosque"", ""Tche Tche Caf\u00e9"", ""The Club at St. Regis"", ""The Pearl-Qatar"", ""The Torch Doha"", ""Traditional Folklore Performance"", ""Villaggio Mall"", ""Z Lounge by Zengo""]"
Dorgali,Italy (sardinia),"[""Explore the Gola Su Gorropu Canyon"", ""Hike to Tiscali, a Hidden Nuragic Village"", ""Visit Cala Luna Beach by Boat or Hike""]"
Dougga,Tunisia,"[""Dougga Ruins""]"
Douiret,Tunisia,"[""Berber Village"", ""Trekking""]"
Douz,Tunisia,"[""Camel Trekking"", ""Douz Market"", ""Enjoy Merguez at a Desert Camp"", ""Enjoy M\u00e9choui in the Desert"", ""Festival of the Sahara"", ""Taste Bambalouni at a Local Stall"", ""Try Harissa Sauce at a Local Market""]"
Dubai,United Arab Emirates,"[""AYA Universe"", ""Abra Ride on Dubai Creek"", ""Al Bastakiya Quarter"", ""Al Dawaar"", ""Al Fahidi Historical Neighborhood"", ""Al Hadheerah"", ""Al Maha Resort Desert Picnic"", ""Al Satwa District"", ""Al Seef Night Market"", ""Al Ustad Special Kebab"", ""Anantara The Palm"", ""AquaFun Water Park"", ""Aquaventure Waterpark"", ""Arabian Tea House"", ""Arabic Coffee"", ""At. Mosphere, Burj Khalifa"", ""At.mosphere in Burj Khalifa"", ""Avatara"", ""Big Bus Night Tour"", ""Bu Qtair"", ""Burj Al Arab Afternoon Tea"", ""Burj Khalifa"", ""Burj Khalifa VIP Sky Lounge"", ""Camel Polo"", ""Camel Racing"", ""Chebab"", ""Deep Dive Dubai"", ""Desert Safari"", ""Desert Safari and Camel Ride"", ""Dhow Cruise Dinner"", ""Dine Around at Burj Al Arab"", ""Dinner Cruise at JA Bateaux"", ""Dinner in the Sky"", ""Dubai Aquarium & Underwater Zoo"", ""Dubai Creek"", ""Dubai Fountain Show"", ""Dubai Frame"", ""Dubai Mall"", ""Dubai Marina"", ""Dubai Marina Walk"", ""Dubai Miracle Garden"", ""Dubai Opera"", ""Dubai Water Canal Cruise"", ""Elevator Dining Experience"", ""Falconry Experience"", ""Flyboarding"", ""Girl and the Goose"", ""Global Village"", ""Gyrocopter Flight"", ""Haus of Vo"", ""Helicopter Tour"", ""Helicopter Tour Over The World Islands"", ""High Tea at Mosaico, Palazzo Versace"", ""Horse Riding at Al Dhabi Stables"", ""Hot Air Balloon Ride"", ""IMG Worlds of Adventure"", ""JBR Beach Walk"", ""Jumeirah Beach"", ""Jumeirah Mosque"", ""Kanafeh"", ""Kayaking at Hatta Dam"", ""Khubz and Khameer"", ""Kuv\u2019s Secret Supper Club"", ""La Mer"", ""La Mer Beachside Eateries"", ""La Perle by Dragone"", ""Luqaimat"", ""Madinat Jumeirah"", ""Mall of the Emirates"", ""Manousheh"", ""Motiongate Theme Park"", ""Night Desert Safari"", ""Nobu, Atlantis The Palm"", ""Noire"", ""Ossiano"", ""Ossiano Underwater Restaurant"", ""Ossiano, Atlantis The Palm"", ""Overnight Desert Glamping"", ""Palm Jumeirah"", ""Personalized Shopping Spree"", ""Private Dinner at the Dubai Opera"", ""Private Tour of The Museum of the Future"", ""Private Yacht Dinner"", ""Ras Al Khor Wildlife Sanctuary"", ""SALT"", ""Ski Dubai"", ""Ski Dubai Polar Pass"", ""Sky Views Dubai"", ""Skydiving over the Palm"", ""Sunset at The View at The Palm"", ""Talise Ottoman Spa"", ""Talisse Ottoman Spa"", ""Tano\u2019s at 8"", ""The Dubai Fountain"", ""The Dubai Fountain VIP Experience"", ""The Lost Chambers Aquarium"", ""The Pods"", ""Topgolf Dubai"", ""Umm Ali"", ""VIP Desert Safari"", ""VIP Marina Dhow Cruise"", ""VR Park Dubai"", ""Virtual Reality Park"", ""Yacht Cruise""]"
Dubrovnik,Croatia,"[""Hike Mount Sr\u0111"", ""Sea Kayaking Around Dubrovnik Walls"", ""Snorkeling at \u0160unj Beach, Lopud Island"", ""Swim at Pasja\u010da Beach"", ""Take a Game of Thrones Walking Tour"", ""Visit Lokrum Island"", ""Visit Trsteno Arboretum"", ""Walk the Dubrovnik City Walls""]"
Durmitor National Park,Montenegro,"[""Hike to Black Lake"", ""Ziplining over the Tara Canyon""]"
Eastern Sudan,Sudan,"[""Kassala's Weekly Market"", ""Totil Island""]"
Edirne,Turkey,"[""Selimiye Mosque""]"
El Djem,Tunisia,"[""El Djem Amphitheater""]"
El Haouaria,Tunisia,"[""Hiking Trails"", ""Roman Quarries"", ""Scuba Diving""]"
El Oued,Algeria,"[""City of a Thousand Domes""]"
Ephesus,Turkey,"[""Ancient City of Ephesus""]"
Essaouira,Morocco,"[""Cooking Class with a Local Chef"", ""Dessert at Gelateria Dolce Freddo"", ""Dine at Dar Mo\u2019da"", ""Dining on Fresh Fish"", ""Essaouira Beach"", ""Hidden Gem: Fish Market Grills"", ""Main Beach"", ""Medina of Essaouira"", ""Moroccan Pastries Workshop"", ""Skala de la Ville""]"
Evia,Greece,"[""Explore the Dragon Houses of Mount Ochi"", ""Hot Springs of Edipsos"", ""Swim in the Thermal Waters of Loutra Edipsou""]"
Extremadura (Cáceres),Spain,"[""Garganta de los Infiernos""]"
Extremadura (Mérida),Spain,"[""Roman Theater of M\u00e9rida at Night""]"
Fahaheel,Kuwait,"[""Al Kout Beach""]"
Famagusta,Cyprus,"[""Discover the Othello Tower"", ""Explore the Ghost Town of Varosha"", ""Relax at Konnos Bay"", ""Visit the Lala Mustafa Pasha Mosque"", ""Visit the Ruins of Salamis"", ""Walk Along the Venetian Walls""]"
Faraya,Lebanon,"[""Faraya-Mzaar Ski Resort""]"
Fayoum,Egypt,"[""Lazib Inn Resort & Spa Restaurant"", ""Tunis Village Food Experience"", ""Wadi El Rayan""]"
Fes,Morocco,"[""Bread Baking at a Local Bakery"", ""Dessert at Boulangerie Patisserie La Palais"", ""Dine at Restaurant Dar Hatim"", ""Hidden Gem: Cafe Clock"", ""Taste of Pastilla""]"
Fethiye,Turkey,"[""Lycian Way Hike"", ""Paragliding over \u00d6l\u00fcdeniz""]"
Fez,Morocco,"[""Al Quaraouiyine University and Library"", ""Bou Inania Madrasa"", ""Chouara Tannery"", ""Jnan Sbil Gardens"", ""Medina of Fez""]"
Florence,Italy,"[""Artisan Leather Shopping"", ""Bargello Museum (Hidden Gem)"", ""Basilica di Santa Croce"", ""Biblioteca delle Oblate"", ""Boboli Gardens"", ""Buchette del Vino (Hidden Gem)"", ""Climb the Duomo"", ""Climb the Duomo (Brunelleschi's Dome)"", ""Cooking Class with a Local Chef"", ""Florence\u2019s Hidden Speakeasies (Hidden Gem)"", ""Florence\u2019s Secret Bakeries (Hidden Gem)"", ""Galleria dell'Accademia"", ""Gelato Tasting at La Carraia"", ""Hidden Frescoes at Palazzo Vecchio"", ""La Specola Museum (Hidden Gem)"", ""Leonardo da Vinci Museum"", ""Medici Chapels"", ""Mercato Centrale"", ""Piazzale Michelangelo"", ""Pitti Palace"", ""Ponte Vecchio"", ""San Miniato al Monte (Hidden Gem)"", ""Santo Spirito Neighborhood"", ""Stibbert Museum (Hidden Gem)"", ""Traditional Tuscan Wine Tasting"", ""Truffle Hunting in Tuscany"", ""Uffizi Gallery"", ""Via de\u2019 Tornabuoni"", ""Walk Across Ponte Vecchio""]"
Formentera,Spain,"[""Es Cal\u00f3 de Sant Agust\u00ed Fishermen\u2019s Huts""]"
Formentera (Balearic Islands),Spain,"[""Cal\u00f3 des Mort Hidden Beach""]"
Fuerteventura,Spain,"[""Ajuy Caves""]"
Fuerteventura (Canary Islands),Spain,"[""Popcorn Beach""]"
Fujairah,United Arab Emirates,"[""Al Bidya Mosque"", ""Snoopy Island""]"
Gafsa,Tunisia,"[""Eat Chakchouka at a Local Cafe"", ""Roman Pools"", ""Taste Date Syrup at a Local Stall"", ""Try Berber Bread at a Local Market""]"
Galicia (Lugo),Spain,"[""Playa de las Catedrales""]"
Galicia (Ourense),Spain,"[""Termas de Outariz""]"
Ghardaia,Algeria,"[""Beni Isguen"", ""M\u2019zab Valley""]"
Gijón,Spain,"[""Cerro de Santa Catalina Park"", ""Laboral Ciudad de la Cultura""]"
Girona,Spain,"[""El Call (Jewish Quarter) Hidden Alleys"", ""Hanging Houses of Onyar""]"
Giza,Egypt,"[""Al Dawar"", ""Camel Market Food Tour"", ""Camel Riding at Sunset"", ""Fish Market Restaurant"", ""Saber for Dairy Desserts"", ""Solar Boat Museum""]"
Gozo,Malta,"[""Cittadella of Victoria"", ""Dwejra Bay & Blue Hole"", ""Hike to Wied il-Miela\u0127 Window"", ""Tal-Mixta Cave (Hidden Gem)"", ""Xlendi Cliff Walk""]"
Gran Canaria,Spain,"[""Puerto de Mog\u00e1n Secret Viewpoint""]"
Gran Canaria (Canary Islands),Spain,"[""Barranco de las Vacas""]"
Granada,Spain,"[""Carmen de los M\u00e1rtires"", ""Sacromonte Caves""]"
Grande Comore,Comoros,"[""Ancienne Mosqu\u00e9e de Vendredi"", ""Chindini Beach"", ""Chomoni Beach"", ""Coconut Oil Production Tour"", ""Cooking Class"", ""Diving at Mitsamiouli"", ""Fishing with Local Fishermen"", ""Iconi Village"", ""Itsandra Beach"", ""Kandani Mosque"", ""Lac Sal\u00e9"", ""Local Villages Tour"", ""Moroni Medina"", ""Mount Karthala Hike"", ""Mutsamudu Citadel"", ""Ngazidja Crater Lakes"", ""Spice Plantation Visit"", ""Traditional Dance Performance"", ""Traditional Music Workshop"", ""Volo Volo Market"", ""Ylang-Ylang Distillery Tour""]"
Guadalajara (Castilla-La Mancha),Spain,"[""Black Villages (Pueblos Negros)""]"
Gusinje,Montenegro,"[""Climb the Prokletije Mountains"", ""Discover the Grlja Waterfall"", ""Visit Ali Pasha\u2019s Mosque""]"
Ha'il,Saudi arabia,"[""A'arif Fort""]"
Hadhramaut Region,Yamen,"[""Wadi Dawan""]"
Hammamet,Tunisia,"[""CarthageLand"", ""Dar Sebastian"", ""Dine at La Bella Marina"", ""Dine at La Belle Vue"", ""Dine at The Sindbad"", ""Drink at Bedouina"", ""Drink at Time Out Pub"", ""Eat Mechouia Salad at Chez Achour"", ""Enjoy Live Music at Shakespeare Bar"", ""Experience Hammamet Marina"", ""Hammamet Beach"", ""Hammamet Beaches"", ""Hammamet Medina"", ""Party at Calypso Club"", ""Relax at Caf\u00e9 Sidi Bou Hadid"", ""Try Grilled Fish at Le Barberousse"", ""Visit Samara Club"", ""Walk in the Medina at Night""]"
Haraz Mountains,Yamen,"[""Al Hutaib Village"", ""Hiking in Haraz Mountains""]"
Harissa,Lebanon,"[""Our Lady of Lebanon""]"
Hawar,Bahrain,"[""Hawar Islands""]"
Herceg Novi,Montenegro,"[""Climb the Kanli Kula Fortress"", ""Explore Savina Monastery"", ""Explore the Kanli Kula Amphitheater"", ""Hike the Lu\u0161tica Peninsula"", ""Visit Forte Mare"", ""Visit Spanjola Fortress"", ""Visit the Blue Flag Beaches of Herceg Novi"", ""Visit the Clock Tower""]"
Huelva,Spain,"[""El Roc\u00edo Village"", ""Rio Tinto Mars-Like Landscape""]"
Huesca,Spain,"[""Alqu\u00e9zar Medieval Village""]"
Huesca (Aragon),Spain,"[""Mallos de Riglos Cliffs""]"
Hurghada,Egypt,"[""El Halaka"", ""Giftun Islands"", ""Hurghada Marina"", ""Sahl Hasheesh"", ""Seafood by the Red Sea"", ""Somabay""]"
Hvar,Croatia,"[""Discover Dubovica Beach"", ""Explore the Abandoned Village of Malo Grablje"", ""Hike to Grap\u010deva Cave"", ""Hike to Pokonji Dol Beach"", ""Party at Hvar\u2019s Beach Clubs"", ""Visit Velo Grablje Village""]"
Hydra,Greece,"[""Cliff Diving at Hydra\u2019s Hidden Coves"", ""Donkey Ride Through Hydra Town"", ""Visit the Historic Mansions""]"
Ibiza,Spain,"[""Es Vedr\u00e0 Viewpoint""]"
Ibiza (Balearic Islands),Spain,"[""Atlantis Cove""]"
Ioannina,Greece,"[""Explore the Vikos Gorge"", ""Visit the Island of Ali Pasha""]"
Istanbul,Turkey,"[""Bar Hopping in Kadikoy"", ""Basilica Cistern"", ""Beylerbeyi Palace Night Tour"", ""Blue Mosque"", ""Bosphorus Cruise"", ""Bosphorus Dinner Cruise"", ""Chora Church"", ""Church of St. Anthony of Padua"", ""Dance on a Luxury Yacht"", ""Dolmabahce Palace"", ""Fener and Balat"", ""Galata Bridge"", ""Galata Tower"", ""Grand Bazaar"", ""Hagia Sophia"", ""Hodjapasha Dance Theater"", ""Hodjapasha Turkish Bath and Dance Combo"", ""Istanbul Aquarium"", ""Istanbul Modern"", ""Istanbul Modern Museum"", ""Istanbul Sapphire"", ""Istiklal Street"", ""Miniaturk"", ""Nargile (Shisha) at Hookah Bars"", ""Night Food Tour in Taksim"", ""Nighttime Visit to Ortakoy Mosque"", ""Ortakoy Night Market"", ""Pandeli Restaurant"", ""Pera Museum"", ""Pertevniyal Valide Sultan Mosque"", ""Pierre Loti Hill"", ""Princes\u2019 Islands"", ""Private Evening City Tour"", ""Pub Crawl"", ""Rahmi M. Koc Museum"", ""Rooftop Bars"", ""Salacak for Maiden\u2019s Tower View"", ""Spice Bazaar"", ""St. Stephen\u2019s Orthodox Church"", ""Suleymaniye Mosque"", ""Sultanahmet Park Fountain Show"", ""Taksim Square"", ""Taksim Square and Istiklal Street"", ""Topkapi Palace"", ""Turkish Breakfast with Bosphorus View"", ""Turkish Hammam"", ""Whirling Dervish Show"", ""\u00c7i\u00e7ek Pasaj\u0131""]"
Istria,Croatia,"[""Explore Gro\u017enjan"", ""Go Truffle Hunting Near Buzet"", ""Olive Oil Tasting in Vodnjan"", ""Truffle Hunting in Motovun Forest"", ""Visit Hum, the World\u2019s Smallest Town"", ""Wine Tasting in Istrian Vineyards""]"
Izmir,Turkey,"[""Agora of Smyrna"", ""Alacati Windsurfing"", ""Alsancak District"", ""Bergama (Pergamon)"", ""Day Trip to Ephesus"", ""Izmir Archaeological Museum"", ""Kadifekale Fortress"", ""Kemeralt\u0131 Bazaar"", ""Konak Pier"", ""Konak Square and Clock Tower"", ""Kordon"", ""K\u0131zlara\u011fas\u0131 Han Bazaar"", ""Turkish Bath (Hammam)"", ""Turkish Coffee Experience"", ""\u0130zmir Atat\u00fcrk Museum"", ""\u015eirince Village""]"
Jaén,Spain,"[""Ba\u00f1os \u00c1rabes de Ja\u00e9n"", ""Castillo de Santa Catalina""]"
Jebel Shams,Oman,"[""Balcony Walk"", ""Grand Canyon of Oman""]"
Jeddah,Saudi arabia,"[""Al Balad Ancient Gates"", ""Al Rahma Mosque"", ""Al Saif Beach"", ""Al Shalal Theme Park"", ""Al-Balad"", ""Atallah Happy Land Park"", ""Athr Gallery"", ""Balad Souk"", ""Fakieh Aquarium"", ""Fish Market"", ""Floating Mosque"", ""Jarir Bookstore"", ""Jeddah Arch"", ""Jeddah Corniche"", ""Jeddah Science and Technology Museum"", ""Jeddah Season Events"", ""Jungle Land Theme Park"", ""King Fahd's Fountain"", ""Mall of Arabia"", ""Red Sea Scuba Diving"", ""Scuba Diving"", ""Scuba Diving in Jeddah"", ""Silver Sands Beach"", ""Sobia Caf\u00e9"", ""Sobia Drink"", ""Street Food at Al Balad"", ""Tayebat City Museum""]"
Jerash,Jordan,"[""Beit Khairat Souf"", ""Olive Oil Tasting"", ""Roman Ruins"", ""Traditional Pastry Workshop""]"
Jezzine,Lebanon,"[""Jezzine Waterfall""]"
Jizan,Saudi arabia,"[""Farasan Islands"", ""Jizan Fish Market""]"
Jounieh,Lebanon,"[""Teleferique""]"
Juffair,Bahrain,"[""Juffair Strip""]"
Kairouan,Tunisia,"[""Dine at Dar Abderrahman Zarrouk"", ""Eat Kamounia at Restaurant Sidi Abdelkader"", ""Great Mosque of Kairouan"", ""Taste Kairouan Makroud at a Local Bakery"", ""Try Bambalouni at a Street Stall"", ""Try Lablabi at a Local Eatery""]"
Karak,Jordan,"[""Karak Castle""]"
Karpas Peninsula,Cyprus,"[""Relax at Golden Beach"", ""Visit the Wild Donkeys of Karpas""]"
Kas,Turkey,"[""Kayaking over the Sunken City of Kekova""]"
Kassala,Sudan,"[""Gash River"", ""Khatmiyya Mosque"", ""Taka Mountains""]"
Kebili,Tunisia,"[""Kebili Market""]"
Kefalonia,Greece,"[""Melissani Cave Boat Tour"", ""Myrtos Beach Sunset""]"
Kelibia,Tunisia,"[""El Mansoura Beach"", ""Fishing Port of Sidi Daoud"", ""Kelibia Fort""]"
Khamis Mushait,Saudi arabia,"[""Al Habala Hanging Village"", ""Khamis Mushait Souq""]"
Khamis Mushayat,Saudi arabia,"[""Al Salam Park"", ""Khamis Mushayat Souq""]"
Khartoum,Sudan,"[""Afra Mall"", ""Al Fateh Tower"", ""Al Kabir Mosque"", ""Al Nilain Mosque"", ""Al Sabalouga (Sixth Cataract)"", ""Al-Mogran Family Park"", ""Blue Nile Sailing Club"", ""Ethnographic Museum"", ""Friendship Hall"", ""Khartoum War Cemetery"", ""Mahdi's Tomb"", ""Mogran Family Park"", ""National Museum of Sudanese Folklore"", ""Nile Street"", ""Omdurman Market"", ""Presidential Palace Museum"", ""Republican Palace Museum"", ""Souq Arabi"", ""Sudan National Museum"", ""Sufi Dervish Dance"", ""Tuti Island"", ""University of Khartoum""]"
Kolasin,Montenegro,"[""Discover the Botanical Garden"", ""Ride the Kolasin Cable Car to Troglava Peak""]"
Kolašin,Montenegro,"[""Enjoy local food at a Kola\u0161in Eco Farm"", ""Hike the Bjelasica Mountain Range""]"
Konavle,Croatia,"[""Horseback Riding in Konavle Valley""]"
Konya,Turkey,"[""Mevlana Museum""]"
Korba,Tunisia,"[""Korba Beach"", ""Local Market"", ""Tazarka Beach""]"
Kornati Islands,Croatia,"[""Sailing Through the Kornati Archipelago"", ""Snorkeling in Tela\u0161\u0107ica Nature Park""]"
Korčula,Croatia,"[""Kayaking Around Kor\u010dula"", ""Scuba Diving in Kor\u010dula\u2019s Waters"", ""Take a Wine & Cycling Tour Around Kor\u010dula"", ""Visit Marco Polo\u2019s Birthplace"", ""Watch a Moreska Sword Dance""]"
Kos,Greece,"[""Explore the Asclepeion"", ""Ride a Bike Around the Island""]"
Kotor,Montenegro,"[""Explore the Old Town"", ""Go wine tasting in the Bay of Kotor region"", ""Hike the Kotor Fortress (San Giovanni Fortress)"", ""Kayaking in the Bay of Kotor"", ""Sunset Cruise on the Bay of Kotor"", ""Take a boat tour to Blue Cave"", ""Visit the Cat Museum"", ""Visit the Maritime Museum of Montenegro""]"
Krapina,Croatia,"[""Visit the Krapina Neanderthal Museum""]"
Krk Island,Croatia,"[""Discover Vrbnik and Try \u017dlahtina Wine"", ""Hike to the Oprna Bay"", ""Swim in Golden Bay (Velo \u010celo Beach)"", ""Visit Ko\u0161ljun Island Monastery""]"
Krka National Park,Croatia,"[""Kayak on the Krka River"", ""Walk to Skradinski Buk Waterfall""]"
Ksar Ghilane,Tunisia,"[""Oasis Ksar Ghilane"", ""Quad Biking""]"
Ksar Ouled Soltane,Tunisia,"[""Granary Fortresses""]"
Kuwait City,Kuwait,"[""Al Qurain Martyrs\u2019 Museum"", ""Al Shaab Leisure Park"", ""Al Shaheed Park"", ""Bait Al Mandi Restaurant"", ""Camel Racing Club"", ""Dhow Harbor"", ""Dickson House Cultural Center"", ""Failaka Island"", ""Grand Mosque"", ""Green Island"", ""Historical, Vintage, & Classic Car Museum"", ""House of Mirrors"", ""Jaber Al-Ahmad International Stadium"", ""Kuwait National Museum"", ""Kuwait Towers"", ""Liberation Tower"", ""Marina Mall and Beach"", ""Mutla Ridge"", ""Old Kuwaiti Shipyard (Doha Village)"", ""Sabah Al Ahmad Sea City"", ""Sadu House Museum"", ""Scientific Center"", ""Sheikh Jaber Al-Ahmed Cultural Centre"", ""Souq Al Mubarakeya"", ""Tareq Rajab Museum"", ""The Avenues Mall"", ""Viking Caf\u00e9"", ""Yachting and Sailing Club""]"
La Gomera (Canary Islands),Spain,"[""Garajonay National Park""]"
La Maddalena,Italy (sardinia),"[""Drive the Scenic La Maddalena Coastal Road""]"
La Palma (Canary Islands),Spain,"[""Roque de los Muchachos Observatory""]"
La Rioja,Spain,"[""Bodega Ysios"", ""San Mill\u00e1n de la Cogolla Monasteries""]"
Lake Skadar,Montenegro,"[""Birdwatching at Lake Skadar"", ""Discover Rijeka Crnojevi\u0107a"", ""Take a boat ride on Lake Skadar""]"
Lanzarote (Canary Islands),Spain,"[""Charco de los Clicos""]"
Larnaca,Cyprus,"[""Birdwatching at Oroklini Lake"", ""Dive the Zenobia Shipwreck"", ""Larnaca Salt Lake"", ""Militzis Restaurant"", ""See the Flamingos at Larnaca Salt Lake"", ""Stroll Along Finikoudes Beach"", ""Try Camel Riding at Mazotos Camel Park"", ""Visit the Ancient Kition Ruins"", ""Visit the Hala Sultan Tekke Mosque"", ""Visit the Salt & Pepper Museum""]"
Lastovo,Croatia,"[""Stargazing in Lastovo""]"
Lefkada,Greece,"[""Discover Egremni Beach"", ""Kitesurfing at Agios Ioannis Beach"", ""Paragliding Over Kathisma Beach""]"
Legzira,Morocco,"[""Beach and Arch""]"
Leon,Spain,"[""Las M\u00e9dulas"", ""Valporquero Caves""]"
Limassol,Cyprus,"[""Explore Ancient Kourion"", ""Hidden Beach: Avdimou Beach"", ""Kourion Archeological Site"", ""Molos Seaside Park"", ""Visit the Kolossi Castle"", ""Walk Along the Molos Promenade"", ""Wine & Meze Night in the Old Town"", ""Wine Tasting at a Troodos Mountain Winery""]"
Lovćen National Park,Montenegro,"[""Hike the Ladder of Kotor Trail"", ""Mountain Biking in Lov\u0107en National Park"", ""Stargazing at Lov\u0107en National Park"", ""Visit the Njego\u0161 Mausoleum"", ""Watch the Sunrise from Jezerski Vrh (Lake Peak)""]"
Luxor,Egypt,"[""Al Sahaby Lane"", ""Colossi of Memnon"", ""Hatshepsut Temple"", ""Luxor Market Food Walk"", ""Luxor Night Market"", ""Luxor Sound and Light Show"", ""Luxor Temple"", ""Medinet Habu"", ""Sofra Restaurant"", ""Temple of Karnak"", ""Valley of the Kings""]"
Ma'in,Jordan,"[""Ma'in Hot Springs""]"
Madaba,Jordan,"[""Mosaic Map"", ""Mount Nebo""]"
Madrid,Spain,"[""Almudena Cathedral"", ""Atocha Station Tropical Garden"", ""CaixaForum Madrid"", ""Casa de Campo Cable Car (Telef\u00e9rico)"", ""Chamber\u00ed Ghost Station"", ""Chocolater\u00eda San Gin\u00e9s"", ""Conde Duque Cultural Center"", ""C\u00edrculo de Bellas Artes Rooftop"", ""Debod Temple Night Lights"", ""El Capricho Park"", ""El Rastro Flea Market"", ""El Retiro Park"", ""Flamenco Show at Cardamomo"", ""Gran V\u00eda"", ""Greenhouse of Arganzuela (Palacio de Cristal de Arganzuela)"", ""Hidden Garden: Dalieda de San Francisco"", ""Hidden Gem: And\u00e9n 0 (Chamber\u00ed Ghost Station)"", ""Hidden Gem: Antigua Farmacia de la Reina Madre"", ""Hidden Gem: Antigua F\u00e1brica de Harinas (Tetu\u00e1n)"", ""Hidden Gem: Caf\u00e9 del Jard\u00edn"", ""Hidden Gem: Casa de Campo"", ""Hidden Gem: Cementerio de la Almudena"", ""Hidden Gem: El Imparcial Restaurant"", ""Hidden Gem: El Jard\u00edn Secreto de Salvador Bachiller"", ""Hidden Gem: El Jard\u00edn del \u00c1ngel"", ""Hidden Gem: Estaci\u00f3n de Pr\u00edncipe P\u00edo Gardens"", ""Hidden Gem: Huerto de las Monjas"", ""Hidden Gem: La Neomud\u00e9jar"", ""Hidden Gem: La V\u00eda L\u00e1ctea (Malasa\u00f1a)"", ""Hidden Gem: Mercado de Ant\u00f3n Mart\u00edn"", ""Hidden Gem: Monasterio de las Descalzas Reales"", ""Hidden Gem: Ojal\u00e1 (Malasa\u00f1a)"", ""Hidden Gem: Parque El Capricho"", ""Hidden Gem: Plaza de la Paja"", ""Hidden Gem: Quinta de los Molinos"", ""Hidden Gem: Secret Gallery (La Cueva de la Adrada)"", ""Hidden Gem: Secret Garden of the Palacio de Liria"", ""Hidden Gem: Sobrino de Bot\u00edn"", ""Hidden Gem: Sorolla Museum"", ""Hidden Gem: Tabacalera Promoci\u00f3n del Arte"", ""Hidden Library: Biblioteca Nacional de Espa\u00f1a"", ""Hidden Rooftop: Azotea del C\u00edrculo"", ""Hidden Rooftop: Gymage Lounge Resort"", ""Hidden Rooftop: The Hat Hostel"", ""Hidden Speakeasy: 1862 Dry Bar"", ""Hidden Speakeasy: Salmon Guru"", ""La Latina Tapas Crawl"", ""Lavapi\u00e9s Street Art Tour"", ""Literary Quarter (Barrio de las Letras)"", ""Malasa\u00f1a Neighborhood"", ""Manzanares River Walk"", ""Matadero Madrid"", ""Mercado de San Miguel"", ""Mercado de la Cebada"", ""Moncloa Bunker (Mirador del Faro de Moncloa)"", ""Museo Naval"", ""Museo Thyssen-Bornemisza"", ""Museo del Ferrocarril (Railway Museum)"", ""Museo del Romanticismo"", ""Palacio de Cibeles Observation Deck"", ""Parque Juan Carlos I"", ""Plaza Mayor"", ""Plaza de Oriente"", ""Plaza de la Villa"", ""Prado Museum"", ""Puente de Segovia"", ""Puerta del Sol"", ""Real Jard\u00edn Bot\u00e1nico"", ""Reina Sof\u00eda Museum"", ""Royal Palace of Madrid"", ""Royal Tapestry Factory (Real F\u00e1brica de Tapices)"", ""Sabatini Gardens"", ""San Fernando Market (Lavapi\u00e9s)"", ""Santiago Bernab\u00e9u Stadium Tour"", ""Sunset at Templo de Debod"", ""Taberna El Sur"", ""Temple of Debod""]"
Mahayel Asir,Saudi arabia,"[""Mahayel Asir Festival""]"
Mahdia,Tunisia,"[""Ancient Port of Mahdia"", ""Borj el Kebir"", ""Cap Afrique"", ""Eat Couscous at Le Lido"", ""Enjoy Fresh Seafood at Le Port"", ""Mahdia Beach"", ""Skifa el Kahla (Black Gate)"", ""Taste Bouza at a Street Stall""]"
Makarska,Croatia,"[""Swim at Makarska Riviera""]"
Mallorca,Spain,"[""Torrent de Pareis Canyon""]"
Mallorca (Balearic Islands),Spain,"[""Cala Varques Hidden Beach""]"
Manama,Bahrain,"[""Adliya Art Gallery"", ""Al Dar Islands"", ""Al Fateh Grand Mosque"", ""Bab Al Bahrain Souk"", ""Bahrain Bay"", ""Bahrain National Museum"", ""Beit Al Quran"", ""Block 338"", ""Gold Souq"", ""La Fontaine Centre of Contemporary Art"", ""Qal'at al-Bahrain (Bahrain Fort)"", ""Seef Mall"", ""Tree of Life""]"
Mardin,Turkey,"[""Old Town Exploration""]"
Marib,Yamen,"[""Marib Dam""]"
